patent_id,sketch_id,status,micro,short,iso,n_edges,med_edge,n_prim,mean_conf,low_conf,budget_n,prim_src
EP3033586B1,F0002,quality_gate_stage3,0.08982035928143713,0.22904191616766467,0.0,693,50.39949493661166,745,0.7138702311383688,0.3217893217893218,1260.0,canonical
EP3046835B1,F0001,quality_gate_stage3,0.0912621359223301,0.4155339805825243,0.0016603251470079558,525,16.82842712474619,589,0.8157819488091396,0.12,1465.0,canonical
EP3049766B1,F0001,quality_gate_stage3,0.4114208633093525,0.7774280575539568,0.25934596532299364,2280,6.82842712474619,3183,0.902605036292517,0.03333333333333333,30426.0,canonical
EP3064097B1,F0001,ok,0.21768707482993196,0.5986394557823129,9.715812484819043e-05,454,12.071067811865476,489,0.8784270214477057,0.09691629955947137,,canonical
EP3078734B1,F0001,quality_gate_stage3,0.2955122777307367,0.5580016934801016,0.000463082068433239,1521,12.414213562373096,2120,0.9104819317008156,0.05325443786982249,20292.0,canonical
EP3082005B1,F0001,quality_gate_stage3,0.20833333333333334,0.375,0.000629458665547629,121,25.935028842544405,121,0.7489390421122487,0.2892561983471074,121.0,canonical
EP3082506B1,F0001,ok,0.32231404958677684,0.4834710743801653,3.7693887936071166e-05,258,16.399494936611667,286,0.736574794849133,0.3023255813953488,,canonical
EP3088045B1,F0007,quality_gate_stage2,0.813457330415755,0.8867614879649891,9.227646027498385e-05,1836,2.0,,,,,diagnostic
EP3088963B1,F0001,quality_gate_stage3,0.3327526132404181,0.4564459930313589,0.000686260589710824,589,22.106601717798213,589,0.7574922891178442,0.2903225806451613,589.0,canonical
EP3091721B1,F0001,ok,0.4723618090452261,0.5326633165829145,0.00023841691170627038,214,10.414213562373096,234,0.8321485224878822,0.19626168224299065,,canonical
EP3101366B1,F0001,quality_gate_stage3,0.14873417721518986,0.6424050632911392,0.05587152893944463,331,10.65685424949238,457,0.857883506415177,0.11782477341389729,3895.0,canonical
EP3104691B1,F0003,quality_gate_stage2,0.5147147147147147,0.8636636636636636,9.244707405010632e-05,2382,5.242640687119285,,,,,diagnostic
EP3117602B1,F0008,quality_gate_stage2,0.5209316965690903,0.6455775889203651,0.0009297407663980749,3425,4.82842712474619,,,,,diagnostic
EP3119165B1,F0001,quality_gate_stage2,0.6587625046313449,0.9258984809188588,0.00011184118551656648,2708,4.0,,,,,diagnostic
EP3190364B1,F0001,ok,0.4025641025641026,0.7102564102564103,8.218502588828315e-05,790,11.65685424949238,791,0.8819891124478151,0.12278481012658228,,canonical
EP3186468B1,F0001,quality_gate_stage3,0.05183585313174946,0.5907127429805615,0.00012501041753479458,939,10.242640687119284,1025,0.8173105748430504,0.043663471778487756,2821.0,canonical
EP3173415B1,F0001,ok,0.3835616438356164,0.541095890410959,0.0009365049634763064,154,12.121320343559642,184,0.8401625770581782,0.12337662337662338,,canonical
EP3184100B1,F0004,quality_gate_stage3,0.42028985507246375,0.5169082125603864,0.00012077294685990338,217,11.242640687119286,259,0.8941367346161008,0.07373271889400922,1185.0,canonical
EP3131533B1,F0001,quality_gate_stage1,,,,,,,,,,none
EP3193044B1,F0001,ok,0.1625,0.253125,5.335894562723441e-05,326,66.83452377915606,354,0.6725328490988134,0.4049079754601227,,canonical
EP3191598B1,F0001,quality_gate_stage2,0.5951742627345844,0.9142091152815014,0.05053571428571429,445,3.0,,,,,diagnostic
EP3233746B1,F0001,quality_gate_stage3,0.19170984455958548,0.5734024179620034,0.038995264566604904,587,14.0,696,0.8524431122059158,0.11754684838160136,3495.0,canonical
EP3244123B1,F0002,ok,0.2,0.34615384615384615,0.00013093575418994413,262,28.81370849898476,281,0.7370802575280166,0.30916030534351147,,canonical
EP3239928B1,F0008,quality_gate_stage3,0.3425076452599388,0.40061162079510704,1.0875475802066341e-05,660,24.071067811865476,702,0.687787060407517,0.4106060606060606,906.0,canonical
EP3147970B1,F0001,quality_gate_stage3,0.39106145251396646,0.5642458100558659,0.0010053619302949062,197,7.82842712474619,241,0.8489625574575782,0.1116751269035533,920.0,canonical
EP3272234B1,F0001,quality_gate_stage3,0.4845360824742268,0.5670103092783505,0.03941622615490692,100,8.82842712474619,211,0.8533811359562858,0.16,3284.0,canonical
EP3257351B1,F0001,ok,0.08823529411764706,0.4485294117647059,8.060615831049492e-05,275,15.742640687119287,276,0.8521086321611797,0.16363636363636364,,canonical
EP3280570B1,F0001,quality_gate_stage3,0.28346456692913385,0.4566929133858268,0.0001018796800978045,406,18.65685424949238,458,0.7800050342683584,0.22413793103448276,1298.0,canonical
EP3240209B1,F0002,quality_gate_stage3,0.1867563372995344,0.7159855147439214,0.21917723857617932,2032,9.071067811865476,2735,0.913156733125945,0.024114173228346455,23772.0,canonical
EP3240268B1,F0002,ok,0.35315985130111527,0.5762081784386617,0.00068661669622933,286,9.82842712474619,288,0.8865593428653444,0.11188811188811189,,canonical
EP3261922B1,F0004,ok,0.15262321144674085,0.3068362480127186,3.87807337314822e-05,647,47.970562748477136,674,0.7499034814861708,0.2982998454404946,,canonical
EP3283256B1,F0001,quality_gate_stage3,0.1027190332326284,0.36555891238670696,0.00013066771200836272,1001,21.48528137423857,1035,0.7470685328953403,0.25574425574425574,1351.0,canonical
EP3281211B1,F0001,ok,0.4272300469483568,0.45539906103286387,0.0004757548032936871,217,22.071067811865476,268,0.752833061808736,0.31797235023041476,,canonical
EP3322902B1,F0002,quality_gate_stage3,0.22180731889469754,0.707244212098581,2.108770375993758e-05,1360,9.0,1421,0.9133743785267782,0.10882352941176471,2201.0,canonical
EP3129274B1,F0001,quality_gate_stage2,0.34263085399449034,0.6869834710743802,0.0007780979827089337,6024,7.82842712474619,,,,,diagnostic
EP3305875B1,F0001,quality_gate_stage3,0.2728512960436562,0.5784447476125512,0.00013921759710427398,862,12.071067811865476,1078,0.8534640424865749,0.1357308584686775,6988.0,canonical
EP3337593B1,F0001,quality_gate_stage3,0.20155038759689922,0.2713178294573643,0.0,133,35.48528137423857,133,0.7456818183823062,0.3007518796992481,133.0,canonical
EP3347465B1,F0005,quality_gate_stage3,0.11061285500747384,0.5560538116591929,0.05469926159581332,694,13.242640687119286,954,0.8791140644596388,0.027377521613832854,7979.0,canonical
EP3332519B1,F0001,quality_gate_stage2,0.2814506989044201,0.6592368719304873,8.711560240439062e-05,2966,8.82842712474619,,,,,diagnostic
EP3205737B1,F0006,quality_gate_stage2,0.33818843878015475,0.8261265361857077,0.50293889320173,2241,7.0710678118654755,,,,,diagnostic
EP3491995A1,F0001,quality_gate_stage2,0.18062678062678061,0.7333333333333333,0.3835732808727533,1964,9.242640687119284,,,,,diagnostic
EP3363610B1,F0003,quality_gate_stage3,0.2120253164556962,0.6265822784810127,0.04729453455090637,330,10.949747468305834,467,0.8973989719320191,0.08787878787878788,4212.0,canonical
EP3492751A1,F0002,quality_gate_stage2,0.8297762655943912,0.8926693473553975,0.0011389041211456532,9795,1.4142135623730951,,,,,diagnostic
EP3340025B1,F0020,quality_gate_stage3,0.21568627450980393,0.40998217468805703,0.0003413746017296313,577,21.656854249492383,621,0.7970968469985434,0.18024263431542462,1263.0,canonical
EP3494929A1,F0001,quality_gate_stage1,,,,,,,,,,none
EP3493219A1,F0003,quality_gate_stage3,0.4020100502512563,0.7336683417085427,0.17367477082502988,251,6.82842712474619,396,0.9180324703546653,0.01593625498007968,3944.0,canonical
EP3493557A1,A0001,quality_gate_stage3,0.27058823529411763,0.49411764705882355,0.0006247396917950854,92,17.0,92,0.7638061494946334,0.2826086956521739,92.0,canonical
EP3493383A1,F0002,ok,0.4470588235294118,0.4588235294117647,0.00016083634901487736,91,23.31370849898476,117,0.7546277615366976,0.2967032967032967,,canonical
EP3496065A1,F0001,ok,0.2898550724637681,0.34782608695652173,0.0,71,25.07106781186548,81,0.7551921094464094,0.2676056338028169,,canonical
EP3496083A1,F0004,quality_gate_stage2,0.4557377049180328,0.7901639344262295,0.3643629525152797,378,6.65685424949238,,,,,diagnostic
EP3499621A1,A0001,quality_gate_stage3,0.18772563176895307,0.37545126353790614,8.557980316645271e-05,286,28.31370849898476,333,0.7110478900026427,0.3531468531468531,1476.0,canonical
EP3498415A1,F0001,quality_gate_stage2,0.3944723618090452,0.8115577889447236,0.000403518682915019,398,7.0,,,,,diagnostic
EP3498192A1,F0001,quality_gate_stage3,0.15,0.5985294117647059,0.0,1453,12.65685424949238,1804,0.8965709111119501,0.025464556090846524,12091.0,canonical
EP3496476A1,F0001,quality_gate_stage2,0.5133333333333333,0.8615384615384616,0.4683161004431315,2003,4.82842712474619,,,,,diagnostic
EP3498474A1,A0001,quality_gate_stage2,0.5972523499638467,0.7657266811279827,0.002621709208753596,2776,4.0,,,,,diagnostic
EP3498480A1,A0001,ok,0.17302798982188294,0.31806615776081426,0.0003659280341532832,401,34.89949493661166,427,0.7064660241070553,0.3516209476309227,,canonical
EP3496314A1,F0001,quality_gate_stage2,0.18697956093868282,0.6858440575321726,0.4207150568362228,1392,9.828427124746192,,,,,diagnostic
EP3495022A2,F0007,quality_gate_stage3,0.2909987669543773,0.6929716399506781,0.024368153195894075,833,7.242640687119285,965,0.8598345637132546,0.12965186074429771,3836.0,canonical
EP3499654A1,A0001,quality_gate_stage2,0.678407350689127,0.7503828483920367,0.00012303149606299212,666,2.0,,,,,diagnostic
EP3501900A1,A0001,quality_gate_stage3,0.23604060913705585,0.5469543147208121,0.0008418217021634817,839,13.65685424949238,1040,0.8831301860141146,0.058402860548271755,6863.0,canonical
EP3501683A1,A0001,quality_gate_stage2,0.8178239083750894,0.9216177523264137,0.014252587523330128,2817,2.414213562373095,,,,,diagnostic
EP3501654A1,A0001,ok,0.24074074074074073,0.35185185185185186,0.0007554296506137865,56,48.707106781186546,68,0.7022785070857253,0.375,,canonical
EP3502419A1,A0001,quality_gate_stage2,0.2205607476635514,0.9289719626168225,0.0,638,7.242640687119286,,,,,diagnostic
EP3501852A1,F0001,quality_gate_stage3,0.29157175398633256,0.3712984054669704,0.00020556862565953267,457,34.89949493661166,458,0.7265569017713753,0.33916849015317285,458.0,canonical
EP3501674A1,F0004,quality_gate_stage3,0.12029384756657484,0.34894398530762166,0.0011723329425556857,1121,27.899494936611667,1177,0.7660029881364635,0.23818019625334522,2045.0,canonical
EP3502503A1,A0001,ok,0.28703703703703703,0.3425925925925926,0.014309636169888873,109,40.31370849898476,133,0.7161402649762542,0.3394495412844037,,canonical
EP3503130A1,A0001,quality_gate_stage3,0.37037037037037035,0.4074074074074074,0.0002187705097352877,27,27.485281374238568,27,0.7657250956254805,0.2962962962962963,27.0,canonical
EP3503056A1,F0001,quality_gate_stage1,,,,,,,,,,none
EP3502566A1,F0002,quality_gate_stage2,0.881050362531844,0.9537526944934352,0.08868714898539036,5137,1.0,,,,,none
EP3502592A1,F0001,quality_gate_stage3,0.33270676691729323,0.41541353383458646,0.00068971005650317,549,30.556349186104043,549,0.7568518931629351,0.28415300546448086,549.0,canonical
