run,patent_id,sketch_id,status,stage2_chamfer_p95,stage2_chamfer_sym,stage2_f1_at_2px,stage2_precision_at_2px,stage2_recall_at_2px,stage3_chamfer_p95,stage3_chamfer_sym,stage3_f1_at_2px,stage3_precision_at_2px,stage3_recall_at_2px
cohort,EP3186468B1,F0001,quality_gate_stage3,0.0,0.00015918516581260134,0.9999668544912165,1.0,0.9999337111796096,2.0,0.5334805053953273,0.9908597959974605,0.9998782368698758,0.9820025852639952
canonical,EP3190364B1,F0001,ok,0.0,0.002567000149182752,0.9999726154941534,1.0,0.9999452324880881,1.0,0.2020807701626821,0.9983519486349204,0.9998300090661831,0.9968782518210197
cohort,EP3190364B1,F0001,ok,0.0,0.002567000149182752,0.9999726154941534,1.0,0.9999452324880881,1.0,0.2020807701626821,0.9983519486349204,0.9998300090661831,0.9968782518210197
canonical,EP3191598B1,F0001,quality_gate_stage2,0.0,0.014464775083185137,0.9968545742521249,1.0,0.9937288738658602,,,,,
cohort,EP3191598B1,F0001,quality_gate_stage2,0.0,0.014464775083185137,0.9968545742521249,1.0,0.9937288738658602,1.4142135623730951,0.31871638371281585,0.9821563605375775,0.9999366607550038,0.9649973314356876
canonical,EP3193044B1,F0001,ok,0.0,0.0002018834664942086,0.999974079834111,1.0,0.9999481610118971,1.0,0.23571132232172398,0.9994409522747227,0.9997893295412651,0.9990928177081984
cohort,EP3193044B1,F0001,ok,0.0,0.0002018834664942086,0.999974079834111,1.0,0.9999481610118971,1.0,0.23571132232172398,0.9994409522747227,0.9997893295412651,0.9990928177081984
canonical,EP3205737B1,F0006,quality_gate_stage2,0.0,0.12715596596315587,0.9800265127633089,1.0,0.9608352815310853,,,,,
cohort,EP3205737B1,F0006,quality_gate_stage2,0.0,0.12715596596315587,0.9800265127633089,1.0,0.9608352815310853,2.23606797749979,0.5865193438449448,0.9468287035395483,0.9999866147318262,0.8990371280263105
canonical,EP3233746B1,F0001,quality_gate_stage3,0.0,0.033299340069538136,0.9917506136738609,1.0,0.9836362185030466,1.0,0.24721179604481108,0.9857344295702261,0.999937913264831,0.9719287975946571
cohort,EP3233746B1,F0001,quality_gate_stage3,0.0,0.033299340069538136,0.9917506136738609,1.0,0.9836362185030466,1.0,0.24721179604481108,0.9857344295702261,0.999937913264831,0.9719287975946571
canonical,EP3239928B1,F0008,quality_gate_stage3,0.0,2.7418535111628484e-05,0.9999949084799266,1.0,0.9999898170117002,1.0,0.05452823362161266,0.9999032522519311,1.0,0.9998065232223048
cohort,EP3239928B1,F0008,quality_gate_stage3,0.0,2.7418535111628484e-05,0.9999949084799266,1.0,0.9999898170117002,1.0,0.05452823362161266,0.9999032522519311,1.0,0.9998065232223048
canonical,EP3240209B1,F0002,quality_gate_stage3,0.0,0.06464257230850988,0.9858016682113068,1.0,0.9720008772571095,2.23606797749979,0.5825554976833284,0.9453168193002622,0.9999766387889548,0.8963228306162732
cohort,EP3240209B1,F0002,quality_gate_stage3,0.0,0.06464257230850988,0.9858016682113068,1.0,0.9720008772571095,2.23606797749979,0.5825554976833284,0.9453168193002622,0.9999766387889548,0.8963228306162732
canonical,EP3240268B1,F0002,ok,0.0,0.004232470636154436,0.9996593812091966,1.0,0.9993189943817037,1.0,0.11138583895435811,0.9993747199379588,0.9998281097805535,0.9989217411043642
cohort,EP3240268B1,F0002,ok,0.0,0.004232470636154436,0.9996593812091966,1.0,0.9993189943817037,1.0,0.11138583895435811,0.9993747199379588,0.9998281097805535,0.9989217411043642
canonical,EP3244123B1,F0002,ok,0.0,0.0002576207934795251,0.9999576342992713,1.0,0.9999152721880957,1.0,0.17974523930641495,0.9996609738526084,1.0,0.9993221775047659
cohort,EP3244123B1,F0002,ok,0.0,0.0002576207934795251,0.9999576342992713,1.0,0.9999152721880957,1.0,0.17974523930641495,0.9996609738526084,1.0,0.9993221775047659
canonical,EP3257351B1,F0001,ok,0.0,0.0005101635005082984,0.9999597050408994,1.0,0.9999194133290353,1.0,0.1557539466639962,0.9996775493752519,1.0,0.999355306632283
cohort,EP3257351B1,F0001,ok,0.0,0.0005101635005082984,0.9999597050408994,1.0,0.9999194133290353,1.0,0.1557539466639962,0.9996775493752519,1.0,0.999355306632283
canonical,EP3261922B1,F0004,ok,0.0,0.0005500506276998643,0.999981135278915,1.0,0.9999622712695718,1.0,0.12940777979968776,0.9999151031496732,1.0,0.999830220713073
cohort,EP3261922B1,F0004,ok,0.0,0.0005500506276998643,0.999981135278915,1.0,0.9999622712695718,1.0,0.12940777979968776,0.9999151031496732,1.0,0.999830220713073
canonical,EP3272234B1,F0001,quality_gate_stage3,0.0,0.03946673822495071,0.9934952874020975,1.0,0.9870746504879979,1.0,0.1043667720004291,0.9921573840223316,1.0,0.9844368240569771
cohort,EP3272234B1,F0001,quality_gate_stage3,0.0,0.03946673822495071,0.9934952874020975,1.0,0.9870746504879979,1.0,0.1043667720004291,0.9921573840223316,1.0,0.9844368240569771
canonical,EP3280570B1,F0001,quality_gate_stage3,0.0,0.005326775540714041,0.9999567885230317,1.0,0.9999135807803655,1.0,0.28692239678839465,0.9947949512293269,0.999661688656904,0.9899753705224041
cohort,EP3280570B1,F0001,quality_gate_stage3,0.0,0.005326775540714041,0.9999567885230317,1.0,0.9999135807803655,1.0,0.28692239678839465,0.9947949512293269,0.999661688656904,0.9899753705224041
